id,name,email,age,score,active,timestamp,category,value1,value2,description
112551,User_3vktxd,user2fuoq4@example.com,61,51.06,true,2025-10-15T18:17:33.765Z,Category0,432.06,338.09,"Description with some text content 0.9207250779901509"
548658,User_lvej6,userslnzl@example.com,22,92.68,false,2025-10-15T18:17:33.765Z,Category6,191.84,437.65,"Description with some text content 0.8729817755865084"
516137,User_pee03b,user7o95mo@example.com,58,24.13,true,2025-10-15T18:17:33.765Z,Category7,727.61,843.64,"Description with some text content 0.5050897982853664"
733941,User_4rgxhwg,user0bv7uc@example.com,45,91.64,true,2025-10-15T18:17:33.765Z,Category1,982.62,669.61,"Description with some text content 0.13869230243252129"
155994,User_ix79h7,userg0yh88i@example.com,51,35.31,true,2025-10-15T18:17:33.765Z,Category1,25.01,992.18,"Description with some text content 0.6668336131608356"
181917,User_uzza3h,userrgbtjf@example.com,60,12.26,false,2025-10-15T18:17:33.765Z,Category7,486.58,792.46,"Description with some text content 0.33640866912144807"
265950,User_0pl71t,userghevi@example.com,90,59.98,false,2025-10-15T18:17:33.765Z,Category5,754.96,331.60,"Description with some text content 0.6646115700242266"
475521,User_eckyu,userob8brd@example.com,86,98.33,false,2025-10-15T18:17:33.765Z,Category9,865.34,640.67,"Description with some text content 0.010341316240892517"
886177,User_xr3p7i,userowvk13@example.com,27,65.10,true,2025-10-15T18:17:33.765Z,Category5,18.78,405.55,"Description with some text content 0.4122494264782819"
365865,User_bgtjf,user4cqobf@example.com,36,61.16,true,2025-10-15T18:17:33.765Z,Category1,634.35,68.65,"Description with some text content 0.1403769226201862"
828082,User_s93zw,userd6wjs5@example.com,92,78.49,false,2025-10-15T18:17:33.765Z,Category5,885.02,32.13,"Description with some text content 0.7939019967619327"
250888,User_obb0zp,usera6h2p@example.com,83,96.03,true,2025-10-15T18:17:33.765Z,Category2,127.72,687.16,"Description with some text content 0.793289450281052"
427251,User_xlv415,user0mqyd@example.com,20,86.58,false,2025-10-15T18:17:33.765Z,Category0,989.43,814.51,"Description with some text content 0.9735423318518153"
139509,User_b0o3ff,usern272jt@example.com,43,44.87,true,2025-10-15T18:17:33.765Z,Category0,346.34,107.28,"Description with some text content 0.08106677558381048"
974363,User_97nyxm,userrw8luk@example.com,74,88.88,false,2025-10-15T18:17:33.765Z,Category3,593.00,763.13,"Description with some text content 0.5840635250905943"
855318,User_pbfvuh,userwtt0v9@example.com,65,64.04,false,2025-10-15T18:17:33.765Z,Category1,816.75,336.92,"Description with some text content 0.8072798573132035"
480038,User_fgspyr,userv56ua9@example.com,24,93.66,true,2025-10-15T18:17:33.765Z,Category4,354.24,998.36,"Description with some text content 0.8199037276522553"
579659,User_tqigh,usera1kgvb@example.com,74,66.12,false,2025-10-15T18:17:33.765Z,Category8,509.64,971.23,"Description with some text content 0.4227784021866653"
370175,User_lll9cq,user9821ua@example.com,27,90.13,false,2025-10-15T18:17:33.765Z,Category9,483.39,123.31,"Description with some text content 0.285322714706738"
620704,User_92o5ba,usergqmuho@example.com,91,12.84,true,2025-10-15T18:17:33.765Z,Category0,321.45,243.95,"Description with some text content 0.6960457894155452"
861584,User_x8ttlc,user4ald3f@example.com,30,84.76,true,2025-10-15T18:17:33.765Z,Category7,926.36,85.40,"Description with some text content 0.0735795275480009"
996564,User_wrr0n,usere8fk2e@example.com,42,64.08,true,2025-10-15T18:17:33.765Z,Category6,789.00,320.58,"Description with some text content 0.09687879978068314"
308196,User_hoaty,user9ihkz@example.com,24,9.22,false,2025-10-15T18:17:33.765Z,Category3,30.79,931.31,"Description with some text content 0.9769240037796493"
483485,User_ts3a5zm,userqu3vte@example.com,85,69.21,true,2025-10-15T18:17:33.765Z,Category7,857.17,752.95,"Description with some text content 0.4638734355944484"
855417,User_aafo6,user7ke7ph@example.com,40,24.34,false,2025-10-15T18:17:33.765Z,Category2,133.03,786.54,"Description with some text content 0.8673324956463713"
811176,User_95tdif,uservtzn4@example.com,70,8.25,true,2025-10-15T18:17:33.765Z,Category8,801.36,11.94,"Description with some text content 0.4785789097649692"
871757,User_va9ehk,user5fgnv@example.com,30,86.15,false,2025-10-15T18:17:33.765Z,Category5,361.01,931.93,"Description with some text content 0.9506561306022013"
311859,User_n2unv,usernvogo@example.com,32,96.20,false,2025-10-15T18:17:33.765Z,Category5,333.54,564.60,"Description with some text content 0.9046579477609997"
74806,User_bjglmk,usertw7d6@example.com,26,62.06,false,2025-10-15T18:17:33.765Z,Category4,983.84,363.62,"Description with some text content 0.8633644532368001"
718134,User_kpsv9m,user2fbd2o@example.com,88,93.01,true,2025-10-15T18:17:33.765Z,Category9,769.77,229.68,"Description with some text content 0.3968058485575725"
158132,User_h9uis,userac603n@example.com,84,81.48,true,2025-10-15T18:17:33.765Z,Category8,920.42,196.37,"Description with some text content 0.2182554543160421"
669421,User_ekqyj,user3gllmg@example.com,69,23.12,false,2025-10-15T18:17:33.765Z,Category2,59.46,946.48,"Description with some text content 0.23179941071523258"
222673,User_4xu7x4,user3bwkjx@example.com,66,30.22,true,2025-10-15T18:17:33.765Z,Category5,880.69,972.91,"Description with some text content 0.2845549061473832"
805711,User_g34m9,user34v6qh@example.com,18,90.25,false,2025-10-15T18:17:33.765Z,Category6,47.79,636.85,"Description with some text content 0.9858997162926667"
636502,User_dfoxc,user1pmhmi@example.com,93,52.16,false,2025-10-15T18:17:33.765Z,Category7,294.11,345.69,"Description with some text content 0.6254032112227956"
884593,User_kl0jb,userm7mauz@example.com,87,93.35,true,2025-10-15T18:17:33.765Z,Category5,176.31,77.27,"Description with some text content 0.15159358814247836"
310675,User_ls2bm,user61f5opo@example.com,63,68.92,true,2025-10-15T18:17:33.765Z,Category4,618.23,747.07,"Description with some text content 0.610959580734409"
145135,User_bfnuur,userbeay5r@example.com,20,10.50,false,2025-10-15T18:17:33.765Z,Category5,14.11,863.78,"Description with some text content 0.12429670031955642"
462888,User_ppd09,userpz3z57@example.com,69,86.87,true,2025-10-15T18:17:33.765Z,Category4,804.33,787.17,"Description with some text content 0.7167506818529565"
581024,User_7t2l2,userh4vr9k@example.com,44,2.15,true,2025-10-15T18:17:33.765Z,Category0,341.20,274.94,"Description with some text content 0.9272611662284673"
