id,name,email,age,score,active,timestamp,category,value1,value2,description
76566,User_2hxbfp,userfo9p0f@example.com,33,45.81,false,2025-10-15T18:17:33.752Z,Category2,142.64,586.81,"Description with some text content 0.1022200422049716"
313608,User_xm13e1,user37et8b@example.com,45,90.02,false,2025-10-15T18:17:33.752Z,Category7,984.04,737.85,"Description with some text content 0.40381820768313514"
779040,User_zcuacx,user14mv0l@example.com,55,16.94,false,2025-10-15T18:17:33.752Z,Category5,517.62,999.23,"Description with some text content 0.20039208639953443"
11236,User_kfp8e,userwafp6n@example.com,40,82.56,true,2025-10-15T18:17:33.752Z,Category3,954.66,327.35,"Description with some text content 0.42994165929606787"
702881,User_207aym,user2t83wr@example.com,82,93.59,true,2025-10-15T18:17:33.752Z,Category5,249.05,114.11,"Description with some text content 0.1869788940329855"
705051,User_ikqugw,usergrc8xr@example.com,93,26.73,true,2025-10-15T18:17:33.752Z,Category4,92.85,256.58,"Description with some text content 0.7423253575943418"
199380,User_y3jh7,user5foj4t@example.com,38,27.50,false,2025-10-15T18:17:33.752Z,Category5,859.87,317.84,"Description with some text content 0.4359402964018805"
649194,User_991zw,user4vmh39@example.com,62,77.33,true,2025-10-15T18:17:33.752Z,Category0,307.42,488.09,"Description with some text content 0.4313752212833287"
385948,User_e4n21s,userofo8js@example.com,56,47.24,true,2025-10-15T18:17:33.752Z,Category3,907.01,14.35,"Description with some text content 0.08368293566238638"
619949,User_gpp985,user4kd0xb@example.com,85,61.74,false,2025-10-15T18:17:33.752Z,Category7,813.35,573.84,"Description with some text content 0.454501349560546"
991483,User_1zi4sh,usernizntg@example.com,21,60.73,false,2025-10-15T18:17:33.752Z,Category6,677.72,331.24,"Description with some text content 0.4638937895586308"
572631,User_e6f6p,usernzot97@example.com,40,75.55,true,2025-10-15T18:17:33.752Z,Category4,120.20,871.14,"Description with some text content 0.2914394076292326"
733070,User_hn7tb4,userzybgu@example.com,89,1.42,true,2025-10-15T18:17:33.752Z,Category2,100.46,53.42,"Description with some text content 0.5353201583901304"
259152,User_fv9idn,usersc21cs@example.com,88,30.19,false,2025-10-15T18:17:33.752Z,Category6,382.49,534.19,"Description with some text content 0.04813975068387377"
968975,User_dwc6t7,user0prfud@example.com,58,92.01,true,2025-10-15T18:17:33.752Z,Category1,685.71,612.49,"Description with some text content 0.86593240981144"
454193,User_yvvztt,userh32ccq@example.com,36,36.01,false,2025-10-15T18:17:33.752Z,Category2,649.77,305.70,"Description with some text content 0.4654839803313807"
561983,User_i78v9d,user9b21c@example.com,83,22.90,false,2025-10-15T18:17:33.752Z,Category1,825.78,316.70,"Description with some text content 0.43387098792490264"
72154,User_6eiksi,userrdpl16@example.com,80,62.45,true,2025-10-15T18:17:33.752Z,Category8,643.09,64.88,"Description with some text content 0.6425398871179114"
405267,User_z057,user7hx7zd@example.com,45,28.07,false,2025-10-15T18:17:33.752Z,Category2,636.89,835.44,"Description with some text content 0.8228171208885208"
974638,User_37thin,useri0kp0h@example.com,64,31.40,false,2025-10-15T18:17:33.752Z,Category9,220.98,456.02,"Description with some text content 0.30732482088974666"
839555,User_5j6cuf,userua5keo@example.com,37,53.49,false,2025-10-15T18:17:33.752Z,Category1,948.28,170.70,"Description with some text content 0.58572992991672"
370325,User_m2vvwe,userahd6qx@example.com,30,97.89,false,2025-10-15T18:17:33.752Z,Category1,658.72,851.23,"Description with some text content 0.9445071869785663"
515748,User_swhey8,userr0mpn@example.com,71,78.33,false,2025-10-15T18:17:33.752Z,Category8,922.93,900.37,"Description with some text content 0.4149270741399833"
578613,User_l2u1x,user7st9pf@example.com,46,65.09,false,2025-10-15T18:17:33.752Z,Category3,47.61,209.64,"Description with some text content 0.0017500452281505874"
808560,User_1uy3mv,userykm5kk@example.com,92,22.41,true,2025-10-15T18:17:33.752Z,Category4,732.09,337.44,"Description with some text content 0.6079061610253355"
661931,User_s8r2q,useru419bs@example.com,81,25.67,false,2025-10-15T18:17:33.752Z,Category8,798.09,402.79,"Description with some text content 0.17318918882135037"
871780,User_70w7kd,userdv8iup@example.com,60,56.95,false,2025-10-15T18:17:33.752Z,Category6,285.55,502.52,"Description with some text content 0.5100598152915059"
